n,X,pi2_OEIS,li2,H2_times_li2,rho_glob,rho_minus_1_ppm
7,10000000,58980,44499.55684165367,58753.81649793415,1.0038496818683056,3849.6818683055876
8,100000000,440312,333530.1918836855,440367.79422737734,0.999873300845092,-126.69915490803874
9,1000000000,3424506,2594294.363533452,3425308.1557430853,0.9997658150138287,-234.1849861713374
10,10000000000,27412679,20761134.52359755,27411416.532278586,1.0000460562743967,46.05627439668858
11,100000000000,224376048,169934748.7959121,224368864.68118194,1.0000320156668274,32.01566682742296
12,1000000000000,1870585220,1416743457.3741066,1870559866.8185248,1.0000135537931316,13.553793131615421
13,10000000000000,15834664872,11992967425.112957,15834598305.509851,1.0000042038635186,4.203863518625894
14,100000000000000,135780321665,102838623527.70975,135780264894.49095,1.0000004181057467,0.4181057466912108
15,1000000000000000,1177209242304,891606015071.0955,1177208491858.6516,1.000000637478708,0.6374787080432043
16,10000000000000000,10304195697298,7804293059013.556,10304192554479.02,1.0000003050039064,0.30500390635346264
17,100000000000000000,90948839353159,68883742650512.445,90948833260981.52,1.000000066984669,0.06698466892274269
18,1000000000000000000,808675888577436,612483092843084.0,808675901493594.4,0.9999999840280163,-0.015971983735596496
