k,g,dr,count,fraction_pct,delta_uniform_pp,hl_predicted,deviation_vs_hl_pct,H_g,xmax
5,90,1,26207,16.723673630875652,0.05700696420898599,26111.41768302675,0.3660556394660326,3.520863017849971,10000000
5,90,2,26244,16.747284724260716,0.08061805759405072,26111.41768302675,0.5077561034130789,3.520863017849971,10000000
5,90,4,26120,16.6681556545378,0.0014889878711316085,26111.41768302675,0.03286806207703173,3.520863017849971,10000000
5,90,5,26043,16.6190190547905,-0.04764761187616706,26111.41768302675,-0.26202209262357823,3.520863017849971,10000000
5,90,7,26061,16.6305055326535,-0.0361611340131629,26111.41768302675,-0.19308673178447458,3.520863017849971,10000000
5,90,8,26031,16.61136140288183,-0.05530526378483558,26111.41768302675,-0.3079789998496473,3.520863017849971,10000000
7,126,1,23480,16.646461209066224,-0.02020545760044179,23500.275914724072,-0.08627947517572913,3.1687767160649742,10000000
7,126,2,23506,16.664894258105225,-0.0017724085614401197,23500.275914724072,0.024357523701844592,3.1687767160649742,10000000
7,126,4,23448,16.623774379479762,-0.04289228718690197,23500.275914724072,-0.22244808917889677,3.1687767160649742,10000000
7,126,5,23541,16.68970797796542,0.023041311298752087,23500.275914724072,0.17329194526780922,3.1687767160649742,10000000
7,126,7,23605,16.73508163713834,0.06841497047167522,23500.275914724072,0.44562917327414453,3.1687767160649742,10000000
7,126,8,23471,16.64008053824503,-0.026586128421635102,23500.275914724072,-0.12457689786412003,3.1687767160649742,10000000
10,180,1,26177,16.7257694544014,0.05910278773473554,26111.41768302675,0.25116337140085987,3.520863017849971,10000000
10,180,2,26067,16.65548505817631,-0.011181608490354322,26111.41768302675,-0.17010827817144006,3.520863017849971,10000000
10,180,4,26069,16.656762956289494,-0.009903710377170971,26111.41768302675,-0.16244879363376186,3.520863017849971,10000000
10,180,5,26117,16.6874325110059,0.02076584433923223,26111.41768302675,0.02137883527051446,3.520863017849971,10000000
10,180,7,25989,16.605647031762157,-0.06101963490450779,26111.41768302675,-0.4688281751408891,3.520863017849971,10000000
10,180,8,26088,16.668902988364735,0.0022363216980708644,26111.41768302675,-0.08968369052581916,3.520863017849971,10000000
11,198,1,21756,16.670625646526954,0.003958979860288481,21759.514735855624,-0.016152638964105837,2.9340525148749763,10000000
11,198,2,21740,16.658365579862842,-0.008301086803824687,21759.514735855624,-0.08968369052581637,2.9340525148749763,10000000
11,198,4,21706,16.6323129382016,-0.034353728465064126,21759.514735855624,-0.24593717509445123,2.9340525148749763,10000000
11,198,5,21708,16.633845446534615,-0.03282122013205102,21759.514735855624,-0.23674579364923745,2.9340525148749763,10000000
11,198,7,21670,16.60472778820735,-0.06193887845931667,21759.514735855624,-0.4113820411082999,2.9340525148749763,10000000
11,198,8,21925,16.800122600666644,0.13345593399997635,21759.514735855624,0.7605190931564617,2.9340525148749763,10000000
12,216,1,19561,16.672206738431903,0.005540071765239296,19583.56326227006,-0.11521530565140843,2.6406472633874785,10000000
